,Year,Season,NOC,Name,Event,Sport,region,notes
120,1984,Summer,DEN,60,33,"['Sailing' 'Cycling' 'Equestrianism' 'Handball' 'Rowing' 'Weightlifting'
 'Canoeing' 'Judo' 'Athletics' 'Shooting' 'Swimming']",Denmark,
121,1988,Summer,DEN,78,73,"['Sailing' 'Boxing' 'Swimming' 'Shooting' 'Tennis' 'Cycling' 'Athletics'
 'Rowing' 'Rhythmic Gymnastics' 'Canoeing' 'Equestrianism'
 'Modern Pentathlon' 'Archery' 'Weightlifting' 'Judo']",Denmark,
122,1988,Winter,DEN,1,1,['Figure Skating'],Denmark,
123,1992,Summer,DEN,110,67,"['Sailing' 'Cycling' 'Weightlifting' 'Football' 'Tennis' 'Shooting'
 'Rowing' 'Canoeing' 'Equestrianism' 'Badminton' 'Boxing' 'Swimming'
 'Athletics' 'Archery']",Denmark,
124,1992,Winter,DEN,6,10,['Cross Country Skiing' 'Alpine Skiing' 'Figure Skating'],Denmark,
125,1994,Winter,DEN,4,6,['Alpine Skiing' 'Cross Country Skiing' 'Figure Skating'],Denmark,
126,1996,Summer,DEN,119,66,"['Boxing' 'Handball' 'Sailing' 'Rowing' 'Cycling' 'Athletics' 'Shooting'
 'Football' 'Tennis' 'Swimming' 'Badminton' 'Fencing' 'Canoeing'
 'Equestrianism']",Denmark,
127,1998,Winter,DEN,12,14,"['Curling' 'Cross Country Skiing' 'Freestyle Skiing' 'Alpine Skiing'
 'Snowboarding' 'Figure Skating']",Denmark,
128,2000,Summer,DEN,97,55,"['Cycling' 'Handball' 'Swimming' 'Sailing' 'Athletics' 'Shooting' 'Rowing'
 'Taekwondo' 'Badminton' 'Equestrianism' 'Triathlon' 'Canoeing'
 'Table Tennis' 'Tennis' 'Archery' 'Modern Pentathlon']",Denmark,
129,2002,Winter,DEN,11,3,['Curling' 'Freestyle Skiing'],Denmark,
130,2004,Summer,DEN,92,59,"['Sailing' 'Handball' 'Cycling' 'Taekwondo' 'Athletics' 'Swimming'
 'Rowing' 'Badminton' 'Shooting' 'Equestrianism' 'Triathlon'
 'Trampolining' 'Archery' 'Canoeing' 'Table Tennis' 'Wrestling']",Denmark,
131,2006,Winter,DEN,4,1,['Curling'],Denmark,
132,2008,Summer,DEN,84,62,"['Rowing' 'Swimming' 'Cycling' 'Canoeing' 'Handball' 'Archery' 'Badminton'
 'Equestrianism' 'Shooting' 'Triathlon' 'Sailing' 'Athletics'
 'Trampolining' 'Wrestling' 'Table Tennis' 'Tennis']",Denmark,
133,2010,Winter,DEN,17,16,"['Alpine Skiing' 'Curling' 'Freestyle Skiing' 'Speed Skating'
 'Snowboarding' 'Cross Country Skiing' 'Biathlon']",Denmark,
134,2012,Summer,DEN,114,69,"['Shooting' 'Cycling' 'Rowing' 'Table Tennis' 'Canoeing' 'Swimming'
 'Badminton' 'Handball' 'Sailing' 'Athletics' 'Boxing' 'Archery'
 'Triathlon' 'Trampolining' 'Equestrianism' 'Wrestling' 'Tennis']",Denmark,
135,2014,Winter,DEN,10,9,['Curling' 'Alpine Skiing' 'Cross Country Skiing'],Denmark,
136,2016,Summer,DEN,119,67,"['Rowing' 'Cycling' 'Badminton' 'Athletics' 'Football' 'Swimming'
 'Sailing' 'Handball' 'Equestrianism' 'Shooting' 'Table Tennis' 'Canoeing'
 'Golf' 'Wrestling' 'Triathlon' 'Tennis']",Denmark,
137,1896,Summer,FRA,12,18,['Fencing' 'Athletics' 'Tennis' 'Cycling' 'Gymnastics' 'Shooting'],France,
138,1900,Summer,FRA,716,81,"['Fencing' 'Swimming' 'Shooting' 'Rugby' 'Sailing' 'Gymnastics' 'Football'
 'Cycling' 'Rowing' 'Equestrianism' 'Cricket' 'Croquet' 'Tug-Of-War'
 'Archery' 'Water Polo' 'Athletics' 'Polo' 'Golf' 'Tennis']",France,
139,1904,Summer,FRA,1,2,['Athletics'],France,
140,1906,Summer,FRA,56,51,"['Cycling' 'Athletics' 'Rowing' 'Wrestling' 'Swimming' 'Gymnastics'
 'Shooting' 'Fencing' 'Tennis' 'Football' 'Weightlifting']",France,
141,1908,Summer,FRA,208,54,"['Football' 'Fencing' 'Athletics' 'Swimming' 'Shooting' 'Sailing' 'Boxing'
 'Hockey' 'Archery' 'Cycling' 'Gymnastics' 'Tennis' 'Motorboating']",France,
142,1912,Summer,FRA,119,66,"['Art Competitions' 'Cycling' 'Rowing' 'Athletics' 'Wrestling'
 'Water Polo' 'Tennis' 'Modern Pentathlon' 'Swimming' 'Equestrianism'
 'Shooting' 'Gymnastics' 'Sailing']",France,
143,1920,Summer,FRA,304,113,"['Cycling' 'Tennis' 'Boxing' 'Athletics' 'Equestrianism' 'Fencing'
 'Wrestling' 'Swimming' 'Weightlifting' 'Rugby' 'Rowing' 'Football'
 'Hockey' 'Gymnastics' 'Shooting' 'Art Competitions' 'Modern Pentathlon'
 'Archery' 'Ice Hockey' 'Water Polo' 'Sailing' 'Figure Skating' 'Diving']",France,
144,1924,Summer,FRA,401,128,"['Art Competitions' 'Shooting' 'Athletics' 'Wrestling' 'Rugby'
 'Equestrianism' 'Football' 'Rowing' 'Cycling' 'Tennis' 'Fencing'
 'Swimming' 'Sailing' 'Diving' 'Boxing' 'Weightlifting' 'Gymnastics'
 'Polo' 'Modern Pentathlon' 'Water Polo']",France,
145,1924,Winter,FRA,43,16,"['Ski Jumping' 'Bobsleigh' 'Curling' 'Nordic Combined'
 'Military Ski Patrol' 'Cross Country Skiing' 'Figure Skating'
 'Ice Hockey' 'Speed Skating']",France,
146,1928,Summer,FRA,255,112,"['Athletics' 'Sailing' 'Fencing' 'Boxing' 'Wrestling' 'Hockey'
 'Weightlifting' 'Cycling' 'Art Competitions' 'Gymnastics' 'Rowing'
 'Equestrianism' 'Diving' 'Football' 'Water Polo' 'Modern Pentathlon'
 'Swimming']",France,
147,1928,Winter,FRA,38,13,"['Ski Jumping' 'Nordic Combined' 'Bobsleigh' 'Figure Skating' 'Ice Hockey'
 'Skeleton' 'Cross Country Skiing' 'Speed Skating']",France,
148,1932,Summer,FRA,103,57,"['Athletics' 'Art Competitions' 'Fencing' 'Rowing' 'Swimming' 'Cycling'
 'Wrestling' 'Weightlifting' 'Modern Pentathlon' 'Boxing' 'Sailing'
 'Equestrianism' 'Diving']",France,
149,1932,Winter,FRA,8,3,['Bobsleigh' 'Cross Country Skiing' 'Figure Skating'],France,
150,1936,Summer,FRA,201,100,"['Weightlifting' 'Sailing' 'Gymnastics' 'Boxing' 'Rowing' 'Fencing'
 'Wrestling' 'Equestrianism' 'Swimming' 'Basketball' 'Athletics'
 'Shooting' 'Modern Pentathlon' 'Water Polo' 'Cycling' 'Hockey' 'Canoeing'
 'Diving']",France,
151,1936,Winter,FRA,28,6,['Alpine Skiing' 'Bobsleigh' 'Ice Hockey' 'Cross Country Skiing'],France,
152,1948,Summer,FRA,316,135,"['Cycling' 'Weightlifting' 'Boxing' 'Athletics' 'Gymnastics'
 'Art Competitions' 'Swimming' 'Wrestling' 'Canoeing' 'Fencing' 'Rowing'
 'Diving' 'Basketball' 'Water Polo' 'Football' 'Shooting' 'Hockey'
 'Equestrianism' 'Sailing' 'Modern Pentathlon']",France,
153,1948,Winter,FRA,36,15,"['Bobsleigh' 'Alpine Skiing' 'Cross Country Skiing' 'Ski Jumping'
 'Figure Skating' 'Skeleton' 'Nordic Combined']",France,
154,1952,Summer,FRA,245,131,"['Athletics' 'Sailing' 'Cycling' 'Swimming' 'Boxing' 'Gymnastics'
 'Football' 'Basketball' 'Wrestling' 'Rowing' 'Hockey' 'Fencing'
 'Canoeing' 'Equestrianism' 'Modern Pentathlon' 'Weightlifting' 'Diving'
 'Shooting']",France,
155,1952,Winter,FRA,26,15,"['Alpine Skiing' 'Cross Country Skiing' 'Bobsleigh' 'Figure Skating'
 'Ski Jumping']",France,
156,1956,Summer,FRA,145,101,"['Cycling' 'Athletics' 'Basketball' 'Rowing' 'Fencing' 'Wrestling'
 'Swimming' 'Equestrianism' 'Sailing' 'Boxing' 'Weightlifting' 'Shooting'
 'Gymnastics' 'Canoeing' 'Modern Pentathlon' 'Diving']",France,
157,1956,Winter,FRA,32,17,"['Alpine Skiing' 'Cross Country Skiing' 'Bobsleigh' 'Figure Skating'
 'Speed Skating' 'Ski Jumping']",France,
158,1960,Summer,FRA,238,120,"['Athletics' 'Canoeing' 'Basketball' 'Football' 'Fencing' 'Swimming'
 'Wrestling' 'Modern Pentathlon' 'Rowing' 'Hockey' 'Sailing' 'Gymnastics'
 'Cycling' 'Boxing' 'Water Polo' 'Equestrianism' 'Weightlifting'
 'Shooting' 'Diving']",France,
159,1960,Winter,FRA,26,21,"['Cross Country Skiing' 'Biathlon' 'Alpine Skiing' 'Figure Skating'
 'Speed Skating' 'Ski Jumping']",France,
160,1964,Summer,FRA,138,89,"['Cycling' 'Fencing' 'Gymnastics' 'Wrestling' 'Athletics' 'Swimming'
 'Canoeing' 'Rowing' 'Judo' 'Sailing' 'Boxing' 'Equestrianism' 'Shooting'
 'Weightlifting']",France,
161,1964,Winter,FRA,24,18,"['Cross Country Skiing' 'Alpine Skiing' 'Figure Skating' 'Speed Skating'
 'Biathlon']",France,
162,1968,Summer,FRA,200,107,"['Cycling' 'Athletics' 'Sailing' 'Fencing' 'Boxing' 'Hockey' 'Rowing'
 'Gymnastics' 'Canoeing' 'Shooting' 'Swimming' 'Football' 'Weightlifting'
 'Wrestling' 'Modern Pentathlon' 'Equestrianism']",France,
163,1968,Winter,FRA,75,31,"['Ski Jumping' 'Cross Country Skiing' 'Alpine Skiing' 'Luge' 'Ice Hockey'
 'Nordic Combined' 'Bobsleigh' 'Biathlon' 'Speed Skating' 'Figure Skating']",France,
164,1972,Summer,FRA,227,132,"['Canoeing' 'Athletics' 'Judo' 'Fencing' 'Boxing' 'Gymnastics' 'Swimming'
 'Shooting' 'Equestrianism' 'Cycling' 'Wrestling' 'Rowing' 'Hockey'
 'Sailing' 'Archery' 'Diving' 'Weightlifting' 'Modern Pentathlon']",France,
165,1972,Winter,FRA,40,24,"['Biathlon' 'Alpine Skiing' 'Bobsleigh' 'Figure Skating'
 'Cross Country Skiing' 'Ski Jumping' 'Nordic Combined' 'Luge'
 'Speed Skating']",France,
166,1976,Summer,FRA,206,128,"['Athletics' 'Canoeing' 'Football' 'Swimming' 'Rowing' 'Gymnastics'
 'Shooting' 'Fencing' 'Equestrianism' 'Cycling' 'Judo' 'Weightlifting'
 'Wrestling' 'Modern Pentathlon' 'Boxing' 'Sailing' 'Diving' 'Archery']",France,
167,1976,Winter,FRA,35,20,"['Biathlon' 'Alpine Skiing' 'Bobsleigh' 'Cross Country Skiing' 'Luge'
 'Nordic Combined' 'Speed Skating' 'Figure Skating']",France,
168,1980,Summer,FRA,121,85,"['Athletics' 'Wrestling' 'Diving' 'Canoeing' 'Rowing' 'Boxing' 'Swimming'
 'Fencing' 'Gymnastics' 'Cycling' 'Modern Pentathlon' 'Weightlifting'
 'Judo']",France,
169,1980,Winter,FRA,22,16,"['Alpine Skiing' 'Biathlon' 'Ski Jumping' 'Cross Country Skiing'
 'Speed Skating' 'Figure Skating']",France,
170,1984,Summer,FRA,238,139,"['Shooting' 'Judo' 'Cycling' 'Swimming' 'Sailing' 'Rhythmic Gymnastics'
 'Football' 'Athletics' 'Gymnastics' 'Canoeing' 'Equestrianism'
 'Synchronized Swimming' 'Basketball' 'Rowing' 'Fencing'
 'Modern Pentathlon' 'Wrestling' 'Weightlifting' 'Archery' 'Boxing'
 'Diving']",France,
171,1984,Winter,FRA,32,24,"['Alpine Skiing' 'Bobsleigh' 'Figure Skating' 'Biathlon' 'Ski Jumping'
 'Speed Skating' 'Cross Country Skiing']",France,
172,1988,Summer,FRA,266,167,"['Wrestling' 'Judo' 'Water Polo' 'Shooting' 'Weightlifting' 'Athletics'
 'Boxing' 'Rowing' 'Gymnastics' 'Archery' 'Fencing' 'Sailing'
 'Equestrianism' 'Canoeing' 'Cycling' 'Table Tennis' 'Volleyball'
 'Swimming' 'Modern Pentathlon' 'Synchronized Swimming'
 'Rhythmic Gymnastics' 'Tennis' 'Diving']",France,
173,1988,Winter,FRA,68,35,"['Ice Hockey' 'Alpine Skiing' 'Cross Country Skiing' 'Ski Jumping'
 'Biathlon' 'Nordic Combined' 'Luge' 'Figure Skating' 'Speed Skating']",France,
174,1992,Summer,FRA,339,196,"['Sailing' 'Canoeing' 'Synchronized Swimming' 'Water Polo' 'Shooting'
 'Volleyball' 'Rowing' 'Boxing' 'Judo' 'Weightlifting' 'Cycling'
 'Athletics' 'Swimming' 'Equestrianism' 'Archery' 'Gymnastics' 'Wrestling'
 'Modern Pentathlon' 'Table Tennis' 'Fencing' 'Handball'
 'Rhythmic Gymnastics' 'Badminton' 'Tennis' 'Diving']",France,
175,1992,Winter,FRA,109,49,"['Freestyle Skiing' 'Ice Hockey' 'Alpine Skiing' 'Cross Country Skiing'
 'Biathlon' 'Short Track Speed Skating' 'Luge' 'Figure Skating'
 'Bobsleigh' 'Ski Jumping' 'Nordic Combined' 'Speed Skating']",France,
176,1994,Winter,FRA,98,45,"['Ice Hockey' 'Freestyle Skiing' 'Alpine Skiing' 'Cross Country Skiing'
 'Biathlon' 'Short Track Speed Skating' 'Figure Skating' 'Bobsleigh'
 'Ski Jumping' 'Nordic Combined']",France,
177,1996,Summer,FRA,299,183,"['Swimming' 'Canoeing' 'Synchronized Swimming' 'Handball' 'Shooting'
 'Athletics' 'Rowing' 'Gymnastics' 'Cycling' 'Fencing' 'Judo' 'Boxing'
 'Sailing' 'Tennis' 'Archery' 'Weightlifting' 'Football' 'Equestrianism'
 'Rhythmic Gymnastics' 'Table Tennis' 'Diving' 'Modern Pentathlon'
 'Badminton' 'Beach Volleyball' 'Wrestling']",France,
178,1998,Winter,FRA,106,47,"['Figure Skating' 'Ice Hockey' 'Bobsleigh' 'Alpine Skiing' 'Biathlon'
 'Nordic Combined' 'Cross Country Skiing' 'Snowboarding'
 'Freestyle Skiing' 'Ski Jumping' 'Speed Skating'
 'Short Track Speed Skating']",France,
179,2000,Summer,FRA,336,196,"['Canoeing' 'Wrestling' 'Shooting' 'Athletics' 'Rowing' 'Handball'
 'Basketball' 'Diving' 'Boxing' 'Cycling' 'Fencing' 'Swimming' 'Taekwondo'
 'Judo' 'Triathlon' 'Equestrianism' 'Table Tennis' 'Weightlifting'
 'Synchronized Swimming' 'Sailing' 'Gymnastics' 'Tennis'
 'Modern Pentathlon' 'Archery' 'Badminton' 'Rhythmic Gymnastics'
 'Beach Volleyball' 'Trampolining']",France,
180,2002,Winter,FRA,114,54,"['Ice Hockey' 'Freestyle Skiing' 'Alpine Skiing' 'Bobsleigh'
 'Figure Skating' 'Nordic Combined' 'Biathlon' 'Snowboarding'
 'Short Track Speed Skating' 'Curling' 'Skeleton' 'Ski Jumping' 'Luge'
 'Cross Country Skiing' 'Speed Skating']",France,
181,2004,Summer,FRA,308,193,"['Handball' 'Cycling' 'Athletics' 'Wrestling' 'Canoeing' 'Equestrianism'
 'Volleyball' 'Fencing' 'Boxing' 'Modern Pentathlon' 'Sailing' 'Rowing'
 'Swimming' 'Judo' 'Taekwondo' 'Triathlon' 'Shooting' 'Gymnastics'
 'Weightlifting' 'Beach Volleyball' 'Tennis' 'Table Tennis' 'Archery'
 'Synchronized Swimming' 'Diving' 'Trampolining' 'Badminton']",France,
182,2006,Winter,FRA,82,55,"['Snowboarding' 'Biathlon' 'Nordic Combined' 'Alpine Skiing'
 'Figure Skating' 'Cross Country Skiing' 'Short Track Speed Skating'
 'Skeleton' 'Freestyle Skiing' 'Bobsleigh']",France,
183,2008,Summer,FRA,309,205,"['Handball' 'Cycling' 'Equestrianism' 'Wrestling' 'Athletics' 'Swimming'
 'Archery' 'Rowing' 'Weightlifting' 'Sailing' 'Triathlon' 'Gymnastics'
 'Modern Pentathlon' 'Taekwondo' 'Canoeing' 'Shooting' 'Boxing'
 'Table Tennis' 'Tennis' 'Judo' 'Synchronized Swimming' 'Diving' 'Fencing'
 'Badminton' 'Trampolining']",France,
184,2010,Winter,FRA,104,63,"['Figure Skating' 'Curling' 'Snowboarding' 'Alpine Skiing' 'Biathlon'
 'Cross Country Skiing' 'Freestyle Skiing' 'Short Track Speed Skating'
 'Nordic Combined' 'Speed Skating' 'Ski Jumping' 'Luge' 'Skeleton']",France,
185,2012,Summer,FRA,324,188,"['Athletics' 'Handball' 'Football' 'Cycling' 'Swimming' 'Rowing' 'Fencing'
 'Boxing' 'Basketball' 'Canoeing' 'Wrestling' 'Tennis' 'Gymnastics'
 'Sailing' 'Diving' 'Shooting' 'Judo' 'Modern Pentathlon' 'Triathlon'
 'Weightlifting' 'Equestrianism' 'Archery' 'Taekwondo'
 'Synchronized Swimming' 'Rhythmic Gymnastics' 'Badminton' 'Table Tennis'
 'Trampolining']",France,
186,2014,Winter,FRA,107,69,"['Freestyle Skiing' 'Figure Skating' 'Snowboarding' 'Cross Country Skiing'
 'Bobsleigh' 'Alpine Skiing' 'Biathlon' 'Luge' 'Nordic Combined'
 'Short Track Speed Skating' 'Ski Jumping' 'Speed Skating']",France,
187,2016,Summer,FRA,392,202,"['Handball' 'Football' 'Cycling' 'Judo' 'Swimming' 'Rugby Sevens'
 'Gymnastics' 'Athletics' 'Basketball' 'Boxing' 'Rowing' 'Fencing'
 'Diving' 'Synchronized Swimming' 'Taekwondo' 'Weightlifting' 'Canoeing'
 'Triathlon' 'Modern Pentathlon' 'Sailing' 'Water Polo' 'Equestrianism'
 'Golf' 'Shooting' 'Tennis' 'Archery' 'Table Tennis' 'Volleyball'
 'Trampolining' 'Wrestling' 'Badminton' 'Rhythmic Gymnastics']",France,
188,1896,Summer,GBR,10,19,"['Cycling' 'Tennis' 'Athletics' 'Weightlifting' 'Wrestling' 'Gymnastics'
 'Shooting']",UK,
189,1900,Summer,GBR,104,39,"['Cricket' 'Rowing' 'Rugby' 'Athletics' 'Polo' 'Fencing' 'Football'
 'Water Polo' 'Swimming' 'Sailing' 'Gymnastics' 'Tennis' 'Golf'
 'Equestrianism' 'Cycling' 'Shooting']",UK,
190,1904,Summer,GBR,6,4,['Athletics' 'Golf' 'Fencing'],UK,
191,1906,Summer,GBR,48,42,"['Athletics' 'Gymnastics' 'Cycling' 'Football' 'Diving' 'Swimming'
 'Fencing' 'Shooting' 'Rowing']",UK,
192,1908,Summer,GBR,735,108,"['Boxing' 'Wrestling' 'Athletics' 'Diving' 'Lacrosse' 'Hockey' 'Shooting'
 'Fencing' 'Cycling' 'Archery' 'Sailing' 'Gymnastics' 'Racquets'
 'Motorboating' 'Football' 'Rowing' 'Tug-Of-War' 'Tennis' 'Swimming'
 'Jeu De Paume' 'Polo' 'Water Polo' 'Figure Skating' 'Rugby']",UK,
193,1912,Summer,GBR,274,79,"['Athletics' 'Tennis' 'Fencing' 'Swimming' 'Wrestling' 'Art Competitions'
 'Water Polo' 'Rowing' 'Football' 'Gymnastics' 'Shooting' 'Tug-Of-War'
 'Modern Pentathlon' 'Cycling' 'Equestrianism' 'Diving']",UK,
194,1920,Summer,GBR,234,84,"['Athletics' 'Boxing' 'Cycling' 'Gymnastics' 'Swimming' 'Diving' 'Hockey'
 'Football' 'Wrestling' 'Polo' 'Tennis' 'Figure Skating' 'Rowing'
 'Fencing' 'Modern Pentathlon' 'Water Polo' 'Tug-Of-War' 'Sailing'
 'Art Competitions' 'Shooting' 'Weightlifting']",UK,
195,1924,Summer,GBR,267,115,"['Athletics' 'Cycling' 'Water Polo' 'Swimming' 'Diving' 'Shooting'
 'Weightlifting' 'Wrestling' 'Art Competitions' 'Boxing' 'Rowing' 'Polo'
 'Modern Pentathlon' 'Fencing' 'Equestrianism' 'Gymnastics' 'Tennis'
 'Sailing']",UK,
196,1924,Winter,GBR,44,10,"['Ice Hockey' 'Bobsleigh' 'Alpinism' 'Figure Skating' 'Speed Skating'
 'Curling']",UK,
197,1928,Summer,GBR,232,84,"['Water Polo' 'Art Competitions' 'Wrestling' 'Athletics' 'Weightlifting'
 'Rowing' 'Swimming' 'Fencing' 'Gymnastics' 'Diving' 'Cycling' 'Boxing'
 'Modern Pentathlon' 'Sailing']",UK,
198,1928,Winter,GBR,32,9,['Bobsleigh' 'Figure Skating' 'Ice Hockey' 'Speed Skating' 'Skeleton'],UK,
199,1932,Summer,GBR,107,50,"['Art Competitions' 'Rowing' 'Athletics' 'Modern Pentathlon' 'Fencing'
 'Cycling' 'Swimming' 'Sailing' 'Boxing' 'Wrestling']",UK,
200,1932,Winter,GBR,4,1,['Figure Skating'],UK,
201,1936,Summer,GBR,208,91,"['Water Polo' 'Fencing' 'Rowing' 'Boxing' 'Sailing' 'Swimming' 'Cycling'
 'Gymnastics' 'Athletics' 'Canoeing' 'Equestrianism' 'Wrestling'
 'Football' 'Polo' 'Diving' 'Weightlifting' 'Modern Pentathlon']",UK,
202,1936,Winter,GBR,38,10,"['Ice Hockey' 'Alpine Skiing' 'Figure Skating' 'Bobsleigh'
 'Nordic Combined' 'Cross Country Skiing']",UK,
203,1948,Summer,GBR,407,139,"['Athletics' 'Hockey' 'Gymnastics' 'Football' 'Fencing' 'Art Competitions'
 'Cycling' 'Shooting' 'Rowing' 'Diving' 'Wrestling' 'Swimming'
 'Equestrianism' 'Sailing' 'Water Polo' 'Boxing' 'Modern Pentathlon'
 'Basketball' 'Weightlifting' 'Canoeing']",UK,
204,1948,Winter,GBR,55,17,"['Figure Skating' 'Alpine Skiing' 'Ice Hockey' 'Speed Skating' 'Skeleton'
 'Bobsleigh']",UK,
205,1952,Summer,GBR,257,127,"['Athletics' 'Rowing' 'Fencing' 'Canoeing' 'Sailing' 'Cycling' 'Shooting'
 'Swimming' 'Weightlifting' 'Football' 'Water Polo' 'Gymnastics' 'Hockey'
 'Wrestling' 'Boxing' 'Diving' 'Modern Pentathlon' 'Equestrianism']",UK,
206,1952,Winter,GBR,18,12,['Figure Skating' 'Alpine Skiing' 'Speed Skating'],UK,
207,1956,Summer,GBR,197,113,"['Athletics' 'Hockey' 'Sailing' 'Canoeing' 'Cycling' 'Swimming' 'Football'
 'Weightlifting' 'Diving' 'Modern Pentathlon' 'Shooting' 'Fencing'
 'Rowing' 'Wrestling' 'Water Polo' 'Boxing' 'Equestrianism' 'Gymnastics']",UK,
208,1956,Winter,GBR,41,19,"['Cross Country Skiing' 'Figure Skating' 'Bobsleigh' 'Alpine Skiing'
 'Speed Skating']",UK,
209,1960,Summer,GBR,253,130,"['Boxing' 'Sailing' 'Fencing' 'Athletics' 'Wrestling' 'Equestrianism'
 'Hockey' 'Cycling' 'Rowing' 'Swimming' 'Weightlifting' 'Canoeing'
 'Football' 'Gymnastics' 'Diving' 'Shooting' 'Modern Pentathlon']",UK,
210,1960,Winter,GBR,17,16,"['Figure Skating' 'Alpine Skiing' 'Speed Skating' 'Cross Country Skiing'
 'Biathlon']",UK,
211,1964,Summer,GBR,204,124,"['Cycling' 'Sailing' 'Wrestling' 'Athletics' 'Swimming' 'Equestrianism'
 'Rowing' 'Fencing' 'Weightlifting' 'Shooting' 'Hockey' 'Diving' 'Boxing'
 'Modern Pentathlon' 'Gymnastics' 'Judo' 'Canoeing']",UK,
212,1964,Winter,GBR,36,19,"['Cross Country Skiing' 'Alpine Skiing' 'Speed Skating' 'Figure Skating'
 'Biathlon' 'Bobsleigh' 'Luge']",UK,
213,1968,Summer,GBR,225,133,"['Fencing' 'Athletics' 'Sailing' 'Shooting' 'Equestrianism' 'Cycling'
 'Weightlifting' 'Swimming' 'Hockey' 'Diving' 'Rowing' 'Gymnastics'
 'Boxing' 'Canoeing' 'Modern Pentathlon' 'Wrestling']",UK,
214,1968,Winter,GBR,38,20,"['Biathlon' 'Figure Skating' 'Speed Skating' 'Bobsleigh' 'Alpine Skiing'
 'Cross Country Skiing' 'Luge']",UK,
215,1972,Summer,GBR,284,159,"['Fencing' 'Hockey' 'Canoeing' 'Swimming' 'Rowing' 'Gymnastics' 'Shooting'
 'Athletics' 'Weightlifting' 'Diving' 'Wrestling' 'Cycling' 'Archery'
 'Equestrianism' 'Boxing' 'Sailing' 'Modern Pentathlon' 'Judo']",UK,
216,1972,Winter,GBR,37,23,"['Alpine Skiing' 'Speed Skating' 'Bobsleigh' 'Figure Skating' 'Luge'
 'Biathlon' 'Cross Country Skiing']",UK,
217,1976,Summer,GBR,242,148,"['Swimming' 'Athletics' 'Fencing' 'Canoeing' 'Judo' 'Shooting' 'Wrestling'
 'Equestrianism' 'Rowing' 'Sailing' 'Cycling' 'Diving' 'Weightlifting'
 'Gymnastics' 'Archery' 'Boxing' 'Modern Pentathlon']",UK,
218,1976,Winter,GBR,42,22,"['Bobsleigh' 'Figure Skating' 'Alpine Skiing' 'Luge'
 'Cross Country Skiing' 'Biathlon' 'Speed Skating']",UK,
219,1980,Summer,GBR,219,145,"['Swimming' 'Judo' 'Fencing' 'Wrestling' 'Rowing' 'Canoeing' 'Athletics'
 'Archery' 'Diving' 'Weightlifting' 'Gymnastics' 'Modern Pentathlon'
 'Cycling' 'Boxing']",UK,
220,1980,Winter,GBR,48,28,"['Figure Skating' 'Alpine Skiing' 'Bobsleigh' 'Luge' 'Biathlon'
 'Speed Skating' 'Cross Country Skiing']",UK,
221,1984,Summer,GBR,337,190,"['Judo' 'Athletics' 'Sailing' 'Shooting' 'Fencing' 'Wrestling' 'Swimming'
 'Rowing' 'Hockey' 'Cycling' 'Equestrianism' 'Gymnastics' 'Canoeing'
 'Weightlifting' 'Diving' 'Boxing' 'Synchronized Swimming' 'Archery'
 'Rhythmic Gymnastics' 'Modern Pentathlon']",UK,
222,1984,Winter,GBR,50,26,"['Figure Skating' 'Alpine Skiing' 'Cross Country Skiing' 'Bobsleigh'
 'Speed Skating' 'Biathlon' 'Luge']",UK,
223,1988,Summer,GBR,345,191,"['Judo' 'Athletics' 'Boxing' 'Cycling' 'Shooting' 'Rowing' 'Table Tennis'
 'Diving' 'Swimming' 'Hockey' 'Canoeing' 'Gymnastics' 'Fencing' 'Tennis'
 'Sailing' 'Rhythmic Gymnastics' 'Weightlifting' 'Modern Pentathlon'
 'Equestrianism' 'Wrestling' 'Archery' 'Synchronized Swimming']",UK,
224,1988,Winter,GBR,48,35,"['Bobsleigh' 'Figure Skating' 'Alpine Skiing' 'Luge' 'Biathlon'
 'Ski Jumping' 'Speed Skating' 'Cross Country Skiing']",UK,
225,1992,Summer,GBR,371,203,"['Athletics' 'Swimming' 'Sailing' 'Shooting' 'Diving' 'Canoeing' 'Hockey'
 'Rowing' 'Gymnastics' 'Fencing' 'Judo' 'Cycling' 'Weightlifting'
 'Badminton' 'Modern Pentathlon' 'Boxing' 'Tennis' 'Table Tennis'
 'Equestrianism' 'Archery' 'Synchronized Swimming' 'Wrestling'
 'Rhythmic Gymnastics']",UK,
226,1992,Winter,GBR,49,30,"['Bobsleigh' 'Freestyle Skiing' 'Cross Country Skiing' 'Alpine Skiing'
 'Figure Skating' 'Biathlon' 'Short Track Speed Skating' 'Speed Skating'
 'Luge']",UK,
227,1994,Winter,GBR,32,27,"['Cross Country Skiing' 'Alpine Skiing' 'Freestyle Skiing'
 'Figure Skating' 'Biathlon' 'Bobsleigh' 'Short Track Speed Skating'
 'Luge']",UK,
228,1996,Summer,GBR,300,175,"['Athletics' 'Sailing' 'Cycling' 'Diving' 'Badminton' 'Weightlifting'
 'Hockey' 'Shooting' 'Equestrianism' 'Rowing' 'Judo' 'Swimming' 'Canoeing'
 'Gymnastics' 'Tennis' 'Boxing' 'Table Tennis' 'Beach Volleyball'
 'Archery' 'Fencing' 'Modern Pentathlon' 'Wrestling']",UK,
